"Id","Name","Opportunity__c","Type","Amount","StageName","Probability","ForecastCategoryName","Most_Likely__c","CampaignId","License_Type__c","Contract_of_Yrs__c","CreatedDate","CloseDate","OwnerId","AccountId","ProductId"
"00630000001jbkaAAA","Big Corp20121aAAA","","New","0.00","Qualified Out","0","Omitted","","","","","2011-01-11","2013-05-06","00530000000pXA1AAM","00130000004EeEHAA0","Defective"
"00630000001jdxXAAQ","Boomberg20121XAAQ","","","0.00","Closed Lost","0","Omitted","","","","","2011-01-11","2011-08-01","00530000000eMGcAAM","00130000004F0x4AAC","Defective"
"00630000001je2hAAA","GiganCorp20121hAAA","","New","0.00","Qualified Out","0","Omitted","","","","","2011-01-11","2012-02-23","00530000000eMGcAAM","00130000004F4P2AAK","Defective"
"00630000001jlrQAAQ","Yankeedoodle20131QAAQ","","","0.00","Closed Lost","0","Omitted","","","","","2011-01-12","2012-07-27","00530000000eMGcAAM","0013000000K7lfHAAR","Defective"
"00630000001jlssAAA","Big Corp20121sAAA","","New","0.00","Qualified Out","0","Omitted","","","","","2011-01-12","2013-05-06","00530000000pXA1AAM","00130000004Fjw2AAC","Defective"
"00630000001jluSAAQ","Yankeedoodle20121SAAQ","","New","42402.83","Qualified Out","0","Omitted","","","","","2011-01-12","2012-05-31","00530000000ow7AAAQ","00130000004Fk37AAC","ProductC"
"00630000001jWfXAAU","Big Corp20111XAAU","","New","35335.69","Qualified Out","0","Omitted","","","","","2011-01-11","2012-06-15","00530000000ow7AAAQ","00130000002ycE9AAI","ProductC"
"00630000001kRd3AAE","IRM201213AAE","","New","0.35","Qualified Out","0","Omitted","","","","","2011-01-17","2012-06-01","00530000000pXA1AAM","00130000004F2ETAA0","Defective"
"00630000001kRllAAE","Boomberg20121lAAE","B9900004","New","11484.10","Closed Won","100","Closed","","","","","2011-01-17","2011-11-28","00530000000eMGcAAM","00130000004F0wmAAC","ProductC"
"006300000022McQAAU","Big Corp20124QAAU","","New","17667.84","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005IRejAAG","ProductC"
"006300000022MgZAAU","Big Corp20124ZAAU","","New","0.35","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005ISCaAAO","Defective"
"006300000022Ml7AAE","Big Corp201247AAE","","New","0.00","Closed Lost","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000ow7AAAQ","00130000005ISQOAA4","Defective"
"006300000022MnRAAU","Big Corp20124RAAU","","New","3533.57","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005ISdIAAW","ProductD"
"006300000022MpkAAE","Big Corp20124kAAE","B9900017","New","15901.06","Closed Won","100","Closed","","","","","2011-04-07","2012-11-26","00530000000pXA1AAM","00130000004YSGFAA4","ProductC"
"006300000022MrYAAU","Big Corp20124YAAU","B9900008","New","1766.78","Closed Won","100","Closed","","","","","2011-04-07","2012-03-06","00530000000eQiVAAU","00130000004YS0MAAW","ProductD"
"006300000022MZ3AAM","Yankeedoodle201243AAM","","New","35335.69","Qualified Out","0","Omitted","","","","","2011-04-07","2012-07-24","00530000000pXA1AAM","00130000005IRN7AAO","ProductC"
"006300000022N0UAAU","iCompany20134UAAU","","New","26501.77","Qualified Out","0","Omitted","","","","","2011-04-07","2012-04-28","00530000000pXA1AAM","0013000000D83nUAAR","ProductC"
"006300000022N6EAAU","Big Corp20124EAAU","","New","35335.69","Qualified Out","0","Omitted","","","","","2011-04-07","2013-09-25","00530000000pXA1AAM","0013000000ITdFxAAL","ProductC"
"006300000022NATAA2","EmpireX20124TAA2","","New","0.35","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005ITIRAA4","Defective"
"006300000022NCVAA2","Trees R Us20124VAA2","","New","0.35","Qualified Out","0","Omitted","","","","","2011-04-07","2012-04-22","00530000000pXA1AAM","00130000009TjzJAAS","Defective"
"006300000022Nd8AAE","EmpireX201248AAE","","New","0.35","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005ITmZAAW","Defective"
"006300000022NF2AAM","iBacon201242AAM","","New","8833.92","Qualified Out","0","Omitted","","","","","2011-04-07","2012-05-08","00530000000pXA1AAM","00130000009WC0lAAG","ProductD"
"006300000022NfNAAU","EmpireX20124NAAU","","New","0.35","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005IToSAAW","Defective"
"006300000022NIgAAM","EmpireX20124gAAM","","New","0.00","Qualified Out","0","Omitted","","","","","2011-04-07","2013-05-06","00530000000pXA1AAM","00130000005ITQzAAO","Defective"
"006300000022NjkAAE","EmpireX20124kAAE","","New","0.35","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-01","00530000000pXA1AAM","00130000005ITqjAAG","Defective"
"006300000022O7bAAE","EmpireX20124bAAE","","New","4240.28","Qualified Out","0","Omitted","","","","","2011-04-07","2012-06-06","00530000000pXA1AAM","00130000005ITrwAAG","ProductD"
"00630000002G1w6AAC","Big Corp201256AAC","B9900001","New","0.00","Closed Won","100","Closed","","","","","2011-05-26","2011-08-28","00530000000eQidAAE","001300000064iNLAAY","Defective"
"00630000002sYoaAAE","CatVids Co.20128aAAE","B9900009","New","0.00","Closed Won","100","Closed","","","","","2011-08-10","2012-03-11","00530000000eMGcAAM","00130000005N4RWAA0","Defective"
"00630000002t7byAAA","Yankeedoodle20128yAAA","B9900005","New","6996.47","Closed Won","100","Closed","","","","","2011-08-11","2011-11-30","00530000000eQiVAAU","00130000007rmSaAAI","ProductD"
"00630000002td1dAAA","Big Corp20128dAAA","","New","26501.77","Qualified Out","0","Omitted","","","","","2011-08-12","2012-05-31","00530000000pXA1AAM","00130000004bpyaAAA","ProductC"
"00630000002tvbsAAA","WeLoveDogs20128sAAA","B9900003","New","9590.11","Closed Won","100","Closed","","","","","2011-08-15","2011-11-15","00530000000eQiVAAU","00130000007teIIAAY","ProductC"
"00630000002u89iAAA","WeLoveDogs20128iAAA","","New","5300.35","Qualified Out","0","Omitted","","","","","2011-08-15","2012-09-25","00530000000jHsfAAE","00130000007teWuAAI","ProductD"
"00630000002uACmAAM","HubbaBubba20128mAAM","","New","7067.14","Qualified Out","0","Omitted","","","","","2011-08-15","2012-05-22","00580000003UgzRAAS","00130000007ti9oAAA","ProductD"
"00630000002uAoWAAU","Big Corp20128WAAU","","New","26501.77","Qualified Out","0","Omitted","","","","","2011-08-15","2012-04-22","00530000000pXA1AAM","0013000000JXkyWAAT","ProductC"
"00630000002uAVEAA2","Yankeedoodle20128EAA2","","New","10600.71","Qualified Out","0","Omitted","","","","","2011-08-15","2012-03-30","00530000000pXA1AAM","00130000007tkEJAAY","ProductC"
"00630000002uBErAAM","Yankeedoodle20128rAAM","","New","10600.71","Qualified Out","0","Omitted","","","","","2011-08-15","2012-03-02","00530000000pXA1AAM","00130000007tkJTAAY","ProductC"
"00630000002uC2eAAE","Yankeedoodle20128eAAE","","New","0.35","Qualified Out","0","Omitted","","","","","2011-08-15","2012-06-01","00530000000pXA1AAM","00130000007tqevAAA","Defective"
"00630000002UdoGAAS","Big Corp20126GAAS","","New","10600.71","Qualified Out","0","Omitted","","","","","2011-06-03","2012-08-20","00530000000pXA1AAM","00130000006JQGrAAO","ProductC"
"00630000002Ue8UAAS","Big Corp20126UAAS","B9900002","New","2164.31","Closed Won","100","Closed","","","","","2011-06-03","2011-08-30","00530000000eQidAAE","00130000006JQGmAAO","ProductD"
"00630000002UeHeAAK","Big Corp20126eAAK","","New","0.35","Qualified Out","0","Omitted","","","","","2011-06-03","2012-06-01","00530000000pXA1AAM","00130000006JQGuAAO","Defective"
"00630000002UeHfAAK","Big Corp20126fAAK","","New","17667.84","Qualified Out","0","Omitted","","","","","2011-06-03","2012-05-31","00530000000pXA1AAM","00130000005YQkwAAG","ProductC"
"00630000002UeRnAAK","Big Corp20136nAAK","","New","26501.77","Qualified Out","0","Omitted","","","","","2011-06-03","2012-04-28","00530000000pXA1AAM","0013000000E1YO1AAN","ProductC"
"00630000002UeWiAAK","Big Corp20126iAAK","","New","0.35","Qualified Out","0","Omitted","","","","","2011-06-03","2012-06-01","00530000000pXA1AAM","00130000006JQGsAAO","Defective"
"00630000002UeZIAA0","Big Corp20136IAA0","","New","7067.14","Qualified Out","0","Omitted","","","","","2011-06-03","2012-05-08","00530000000pXA1AAM","0013000000E1YZJAA3","ProductD"
"00630000002uF5oAAE","Yankeedoodle20128oAAE","","New","20141.34","Qualified Out","0","Omitted","","","","","2011-08-15","2012-04-23","00530000000pXA1AAM","00130000007uZXEAA2","ProductC"
"00630000002uLyrAAE","Yankeedoodle20128rAAE","B9900011","New","10600.71","Closed Won","100","Closed","","","","","2011-08-16","2012-06-06","00530000000eQidAAE","00130000007vCJyAAM","ProductC"
"00630000002uM4sAAE","Yankeedoodle20128sAAE","","New","23674.91","Qualified Out","0","Omitted","","","","","2011-08-16","2012-05-30","00530000000pXA1AAM","00130000007vAOTAA2","ProductC"
"00630000002UMCdAAO","iCompany20126dAAO","","New","0.35","Qualified Out","0","Omitted","","","","","2011-06-03","2011-10-31","00530000000pXA1AAM","00130000004EC8ZAAW","Defective"
"00630000003aSaOAAU","Big Corp201211OAAU","","New","2120.14","Qualified Out","0","Omitted","","","","","2011-11-28","2012-07-08","00530000000jHsfAAE","00130000009lfRiAAI","ProductD"
"00630000003boiPAAQ","Big Corp201212PAAQ","","New","0.00","Qualified Out","0","Omitted","","","","","2011-12-01","2013-02-28","005800000044tnMAAQ","00130000009qE1vAAE","Defective"
"00630000003bQmJAAU","Big Corp201211JAAU","","","3533.57","Qualified Out","0","Omitted","","","","","2011-11-30","2012-08-30","00530000000jHsfAAE","00130000009pKbVAAU","ProductD"
"00630000003brrFAAQ","Big Corp201212FAAQ","","New","0.00","Qualified Out","0","Omitted","","","","","2011-12-01","2013-05-06","00530000000pXA1AAM","00130000009qI1uAAE","Defective"
"00630000003bsZEAAY","iCompany201212EAAY","","","0.00","Qualified Out","0","Omitted","","","","","2011-12-01","2012-04-24","00530000000jHsfAAE","00130000009qIh8AAE","Defective"
"00630000003bt1pAAA","Big Corp201212pAAA","","New","0.00","Qualified Out","0","Omitted","","","","","2011-12-01","2012-04-24","00530000000kRamAAE","00130000009qIxhAAE","Defective"
"00630000003cUf8AAE","Big Corp2012128AAE","B9900010","New","1973.85","Closed Won","100","Closed","","","","","2011-12-02","2012-04-24","00530000000jHsfAAE","00130000009rECrAAM","ProductD"
"00630000003cXkpAAE","Big Corp201212pAAE","","","0.00","Qualified Out","0","Omitted","","","","","2011-12-02","2012-10-16","00530000000jHsfAAE","00130000009rUNSAA2","Defective"
"00630000003cYAsAAM","Big Corp201212sAAM","","","1766.78","Closed Lost","0","Omitted","","","","","2011-12-02","2012-04-28","00530000000jHsfAAE","00130000009rZAOAA2","ProductD"
"00630000003dDDQAA2","Trees R Us201212QAA2","","","0.00","Closed Lost","0","Omitted","","","","","2011-12-05","2012-02-16","00530000000jHsfAAE","00130000009tdtOAAQ","Defective"
"00630000003dDujAAE","Trees R Us201212jAAE","","New","0.00","Closed Lost","0","Omitted","","","","","2011-12-05","2012-04-03","00530000000jHsfAAE","00130000009tfpgAAA","Defective"
"00630000003dDZyAAM","Trees R Us201212yAAM","","","0.00","Qualified Out","0","Omitted","","","","","2011-12-05","2012-10-31","00530000000jHsfAAE","00130000009thhLAAQ","Defective"
"00630000003dFM4AAM","Big Corp2013124AAM","","New","3532.51","Qualified Out","0","Omitted","","","","","2011-12-05","2012-06-03","00530000000pXA1AAM","0013000000CISEHAA5","ProductD"
"00630000003dJVcAAM","iCompany201312cAAM","","New","7508.13","Qualified Out","0","Omitted","","","","","2011-12-05","2012-08-30","00530000000pXA1AAM","0013000000C28HVAAZ","ProductD"
"00630000003ea1wAAA","Yankeedoodle201212wAAA","","New","4199.65","Qualified Out","0","Omitted","","","","","2011-12-08","2012-07-23","00530000000jHsfAAE","00130000009y1T7AAI","ProductD"
"00630000003fCayAAE","BadBoys201212yAAE","","","0.00","Qualified Out","0","Omitted","","","","","2011-12-09","2012-08-12","00530000000jHsfAAE","00130000009z9hDAAQ","Defective"
